axis_tolerance_degrees,catalog_raw_candidates_total,catalog_safe_candidates_total,catalog_wall_time,continuation_time,evaluated_transitions,failure_pose_index,failure_progress,lift_found,max_active_branches,max_candidates,orientation_cone_samples,placement_id,provisional_failure_category,q_interpolation_step_rad,random_restarts,sigma_safe,skeleton_id,stage,strict_kinematics_pass,task_edge_samples,wall_time
10.0,1820,1810,24.627622596919537,1.3249167203903198,126,28,0.08668730650154799,False,6,6,5,P_hard,transition_graph_empty,0.05,8,0.07237417172157597,S06,default,,7,1.3484447374939919
10.0,1820,1810,24.627622596919537,1.53864024579525,150,34,0.10526315789473684,False,6,6,5,P_hard,transition_graph_empty,0.05,8,0.07237417172157597,S07,default,,7,1.5665383264422417
10.0,1820,1810,24.627622596919537,1.5408372581005096,150,34,0.10526315789473684,False,6,6,5,P_hard,transition_graph_empty,0.05,8,0.07237417172157597,S08,default,,7,1.5687650442123413
10.0,1820,1810,24.627622596919537,1.527438335120678,150,34,0.10526315789473684,False,6,6,5,P_hard,transition_graph_empty,0.05,8,0.07237417172157597,S09,default,,7,1.5550671964883804
10.0,1820,1810,24.627622596919537,1.523281842470169,150,34,0.10526315789473684,False,6,6,5,P_hard,transition_graph_empty,0.05,8,0.07237417172157597,S10,default,,7,1.5509306192398071
10.0,1820,1810,24.627622596919537,1.0635026842355728,102,22,0.06811145510835913,False,6,6,5,P_hard,transition_graph_empty,0.05,8,0.07237417172157597,S11,default,,7,1.0835750624537468
10.0,1820,1810,24.627622596919537,1.5189098194241524,150,34,0.10526315789473684,False,6,6,5,P_hard,transition_graph_empty,0.05,8,0.07237417172157597,S12,default,,7,1.5462037026882172
10.0,1820,1810,24.627622596919537,1.3098164424300194,126,28,0.08668730650154799,False,6,6,5,P_hard,transition_graph_empty,0.05,8,0.07237417172157597,S13,default,,7,1.3327979147434235
10.0,1820,1810,24.627622596919537,1.0597861781716347,102,22,0.06811145510835913,False,6,6,5,P_hard,transition_graph_empty,0.05,8,0.07237417172157597,S14,default,,7,1.0780696794390678
10.0,1820,1810,24.627622596919537,0.8128526583313942,80,16,0.04953560371517028,False,6,6,5,P_hard,transition_graph_empty,0.05,8,0.07237417172157597,S15,default,,7,0.826927550137043
10.0,1820,1810,24.627622596919537,1.9609569385647774,185,61,0.18885448916408668,False,6,6,5,P_hard,transition_graph_empty,0.05,8,0.07237417172157597,S16,default,,7,2.0405744314193726
10.0,1820,1810,24.627622596919537,0.5750907510519028,65,15,0.04643962848297214,False,6,6,5,P_hard,pose_candidate_empty,0.05,8,0.07237417172157597,S17,default,,7,0.5901115983724594
10.0,1820,1810,24.627622596919537,0.8245143666863441,83,19,0.058823529411764705,False,6,6,5,P_hard,transition_graph_empty,0.05,8,0.07237417172157597,S18,default,,7,0.8402072563767433
10.0,1820,1810,24.627622596919537,1.256320059299469,127,31,0.09597523219814241,False,6,6,5,P_hard,transition_graph_empty,0.05,8,0.07237417172157597,S19,default,,7,1.2854105085134506
